Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Terkonfirmasi,2020-03-15,,,,,,,19,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-16,,,1,,,,14,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-18,,,4,,,1,30,,12,2,,,1,,,,,,,,,1,,,,1,1,,,,,,,
Terkonfirmasi,2020-03-19,,,10,,,2,52,,2,4,1,,2,,,,2,,,,,1,3,2,,,1,,,,,,,
Terkonfirmasi,2020-03-20,,3,10,,,-1,5,,15,,6,,7,2,,,1,,,,,,,,,,-1,,,,,,,
Terkonfirmasi,2020-03-21,,,4,,,1,44,,14,2,11,,,,,,,,,,,,,2,,,,,,,,,,
Sembuh,2020-03-21,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-21,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-22,,,,,,,40,,4,1,15,,,,1,,,,,,,,,,,,,,1,,2,,,
Sembuh,2020-03-22,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-22,,1,1,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-23,,3,9,,,,44,1,,,,,2,,,,1,,,,,,,,,,,1,,,,,,
Sembuh,2020-03-23,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Terkonfirmasi,2020-03-24,,,9,,,1,70,,1,4,10,1,,1,,,,1,1,,1,5,,,,,1,,,,1,,,
Sembuh,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-24,,,1,,,1,2,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,
Terkonfirmasi,2020-03-25,,3,2,,,11,39,,13,19,,,,,1,,,1,,,,,,9,,,,,,,,,,
Sembuh,2020-03-25,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-25,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-26,1,,,,,,53,,5,2,8,,,2,,,,,,3,,,,14,1,2,1,,,,4,,,
Sembuh,2020-03-26,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-26,,,,,,,15,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-27,3,,17,,,6,83,,20,3,7,,,,,,,,,2,,,,2,,1,,,,2,,,,
Sembuh,2020-03-27,,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-27,,,,,,,5,,3,,1,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-28,,,10,,,,38,,21,12,11,,6,1,,2,,,1,,,,,4,1,,,,,,,,,
Sembuh,2020-03-28,,,,,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-28,,,,,,,11,,3,1,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-29,,1,3,,,,48,,30,8,13,5,,,,,,,,,,,,15,,,1,,,,2,,,
Sembuh,2020-03-29,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-29,,,,,,,6,,2,,3,,,,,,,,1,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-30,,9,22,1,,1,24,1,25,17,1,1,,,4,,1,,,3,,5,,4,,4,1,,,,,,,
Sembuh,2020-03-30,,,,,,,3,,2,,5,,,,,,,,,,1,,,,,,,,,,,,,
Meninggal,2020-03-30,,,,,,,6,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-03-31,,,14,1,1,5,41,,16,13,2,,3,2,2,,1,2,3,,,6,,,,,,,,,1,,,
Sembuh,2020-03-31,,,1,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-03-31,,,,,1,,9,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,
Terkonfirmasi,2020-04-01,,6,11,,,5,62,,21,11,11,1,1,,,,,2,,,1,2,,15,,,,,,,,,,
Sembuh,2020-04-01,,10,5,,,,2,,,,1,,,,,,,,,,,,,,,,1,,1,,2,,,
Meninggal,2020-04-01,,,10,1,,,2,,,,1,,1,,,,,,,,,2,,4,,,,,,,,,,
Terkonfirmasi,2020-04-02,,,8,,,,80,,15,,,,,,,,,,6,,,,,,,,4,,,,,,,
Sembuh,2020-04-02,,,,,,,2,,,,5,,,2,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-04-02,,,,,,1,5,,4,,2,,,,,,,,,,,,,,,1,,,,,,,,
Terkonfirmasi,2020-04-03,,2,6,,1,,74,,2,10,52,,1,3,,6,1,1,1,,,,3,16,2,4,3,,,,6,,,
Sembuh,2020-04-03,,,,,,,,,1,11,3,,,,,,,2,,,,,,4,,,,,,,1,,,
Meninggal,2020-04-03,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-04-04,,5,3,,,5,55,,24,7,,,2,,,,,,,,,3,,,,,,,,,2,,,
Sembuh,2020-04-04,,,,,,,4,,,,4,,1,,,,,,1,,,,1,5,,,,,,,,,,
Meninggal,2020-04-04,1,,3,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,1,,,
Terkonfirmasi,2020-04-05,,3,4,,,1,96,,5,,36,,6,,8,,1,,4,,,,,3,,,1,,,,8,,,
Sembuh,2020-04-05,,8,,,,,,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-04-05,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Terkonfirmasi,2020-04-06,,7,10,,,6,101,,11,12,1,2,1,9,2,7,,3,,10,2,1,1,30,,1,1,,,,,,,
Sembuh,2020-04-06,,,,,,,9,,1,,8,,,,,,,,,,,,,10,,,,,,,,,,
Meninggal,2020-04-06,,,,,,,4,,1,4,,,,,,,,,,,,,,1,,,,,,,1,,,
Terkonfirmasi,2020-04-07,,,7,,,1,135,,80,1,5,,,,,,,,,,3,,,15,,,,,,,,,,
Sembuh,2020-04-07,,,,,,,,,4,,3,1,,2,,,,,,,,,,2,,,,,,,,,,
Meninggal,2020-04-07,,,1,,,,7,,,,2,,,,,,,,,,,,,,2,,,,,,,,,
Terkonfirmasi,2020-04-08,1,6,18,,,,101,,22,7,2,,1,,4,1,,,,,,33,4,,,3,,1,2,,12,,,
Sembuh,2020-04-08,,,,,,5,5,,,,5,,,3,,,,,,,,,,,,,,,,,,,,
Meninggal,2020-04-08,,,,,,4,8,,6,,,,,,,,,,,,1,,,,,,,,,,,,,
Terkonfirmasi,2020-04-09,,14,6,1,2,,236,,11,4,27,,,,,,13,6,1,,,,5,10,,,,,,,,,1,
Sembuh,2020-04-09,1,,,,,,12,,2,4,3,,2,,,,,2,,,,,,2,,1,,1,,,,,,
Meninggal,2020-04-09,,,2,,,,28,,5,,1,,,,2,,,,,,,,,2,,,,,,,,,,
Terkonfirmasi,2020-04-10,,12,25,,,,47,,12,,33,,3,4,7,,,9,4,13,5,,,29,9,5,,,,,,1,,1
Sembuh,2020-04-10,,1,,,,,,,,,13,,,1,,,,,,6,,8,,1,,,,,,,,,,
Meninggal,2020-04-10,,,1,,,,12,,,,5,,,1,,,,,,3,1,,,3,,,,,,,,,,
Terkonfirmasi,2020-04-11,,4,36,1,,,196,2,32,,11,,,,,,,2,,,,,1,11,5,,3,,,,24,2,,
Sembuh,2020-04-11,,,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,
Meninggal,2020-04-11,,,,,,,5,,,,3,,,,,1,,2,,,,4,1,4,,,,,,,,1,,
Terkonfirmasi,2020-04-12,,2,2,,,,96,,29,56,119,3,,,5,,,10,,13,4,6,,44,,,,,8,1,1,,,
Sembuh,2020-04-12,,,,,,,60,,,1,4,,,,,,,,3,,,,,,2,,,,,,2,1,,
Meninggal,2020-04-12,,,,,,,36,,3,3,2,1,,,,,,,,,,,,,,,,,,,1,,,
Terkonfirmasi,2020-04-13,,5,4,,,16,160,,60,3,54,,,1,,,,,,1,,2,,,,1,4,,,,5,,,
Sembuh,2020-04-13,3,1,,,,,,,3,,5,,,1,,,,,,,1,1,,6,,,,,,,,,,
Meninggal,2020-04-13,,,1,,,,9,,9,,3,,,,,,,,,,,1,,,,3,,,,,,,,
Terkonfirmasi,2020-04-14,,6,4,,,5,130,1,,75,35,,,,3,,5,,1,3,,5,,9,,,,,,,,,,
Sembuh,2020-04-14,,1,,,,12,21,,1,,3,2,,,3,,,,,,,1,,2,,,,,,,,,,
Meninggal,2020-04-14,,,,,,,37,,,1,11,,,,3,,4,,,2,,,,,1,1,,,,,,,,
Terkonfirmasi,2020-04-15,,6,,1,,1,139,1,29,13,24,,,8,12,4,6,,3,7,1,6,8,11,3,,,2,3,,7,2,,
Sembuh,2020-04-15,,2,,,,,1,,,,5,,,,,1,,,,1,,,,9,,,,1,,,,,,
Meninggal,2020-04-15,,,2,,,,,,,1,4,,,1,1,,,,,,,,,,,1,,,,,,,,
Terkonfirmasi,2020-04-16,,15,16,1,,,196,1,11,8,15,8,9,1,10,8,6,8,15,,,1,2,29,,5,4,,,3,5,,,3
Sembuh,2020-04-16,,9,,,,4,38,,5,,5,,4,,3,1,3,,1,,3,2,3,,,7,4,,,,10,,,
Meninggal,2020-04-16,,,7,,,,2,,1,,1,,,,,,2,,,,,,,8,,,3,,,,3,,,
Terkonfirmasi,2020-04-17,,11,11,,,1,154,1,58,5,8,,,1,15,19,19,6,17,7,,,,62,2,,1,,,,9,,,
Sembuh,2020-04-17,,4,2,,,3,2,,13,17,8,,,,,,,,,3,,,,1,,2,4,,,,,,,
Meninggal,2020-04-17,,,2,,,1,2,,3,13,,,,,,,,,,2,,,,,,,1,,,,,,,
Terkonfirmasi,2020-04-18,1,7,10,,,3,109,,9,25,33,,10,6,18,3,21,4,30,9,2,,1,11,,,4,,3,,6,,,
Sembuh,2020-04-18,,,,,,1,1,,,8,2,,1,,,,1,,,2,,,,,,,,,5,,3,,,
Meninggal,2020-04-18,,1,,,,,7,,,,3,,,,,,,,,1,,,1,2,,,,,,,,,,
Terkonfirmasi,2020-04-19,1,4,3,1,,,108,,55,20,35,,5,5,4,19,,6,5,1,,2,9,27,3,,,,,2,12,,,
Sembuh,2020-04-19,,2,,,,1,29,,4,7,2,1,,,,,,9,,,,,,,,,,,,,,,,
Meninggal,2020-04-19,,,,,,,34,,3,3,5,,,,,,,1,1,,,,,,,,,,,,,,,
Terkonfirmasi,2020-04-20,,5,29,,,2,79,,25,3,,,4,14,,5,,11,,2,,2,,,,,4,,,,,,,
Sembuh,2020-04-20,,4,8,1,,1,,1,7,,,,,1,3,,,,,,,1,,20,,,,,4,,10,,,
Meninggal,2020-04-20,,,1,,,,,,3,,2,,,1,,,,1,,,,,,,,,,,,,,,,
Terkonfirmasi,2020-04-21,,10,,1,4,3,163,5,9,98,13,6,5,7,2,3,2,21,,2,,1,,4,,1,1,,,,11,,,3
Sembuh,2020-04-21,,,,1,1,2,56,,19,,2,1,,,,,2,,,,,,,10,1,,,,,,,,,
Meninggal,2020-04-21,,,,,,,11,,6,,,,,1,,,1,,,,1,,,5,,,,,,,,,,1
Terkonfirmasi,2020-04-22,,2,,,,3,119,,6,30,35,4,1,15,9,,,15,,5,,9,,13,2,,8,,1,5,1,,,
Sembuh,2020-04-22,,5,12,,,,36,,4,3,1,,,,,,,,,,,8,,2,,,,,,,,,,
